Medicamentos,Descrição,Classificação,Fonte,-
Zanidip,"O Zanidip é um remédio destinado ao tratamento da hipertensão arterial leve a moderada, também conhecida como pressão alta",hipertensão,https://www.bulario.com/,-
Yaz flex,"O Yaz flex é um anticoncepcional indicado para prevenir a gravidez, podendo também proporcionar benefícios adicionais como melhora dos sintomas associados à retenção de líquido, como distensão abdominal, inchaço ou ganho de peso. Além disso, pode também ser utilizado para o tratamento da acne em mulheres que pretendem uma proteção contraceptiva","anticoncepcional, acne, inchaço",https://www.bulario.com/,-
Xalatan,Xalatan Redução da pressão intra-ocular elevada em pacientes com glaucoma de ângulo aberto e hipertensão ocular.,glaucoma ,https://www.bulario.com/,-
Wellbutrin XL,Wellbutrin XL é um medicamento indicado para tratar depressão. Uso adulto - Uso oral,depressão,https://www.bulario.com/,-
vacina antirrábica,"A vacina antirrábica humana, também conhecida por vacina contra a raiva, é usada para prevenir a raiva em pessoas antes ou após a exposição ao vírus, devido a uma mordida de cachorro ou outro animal portador do vírus.",vacina antirrábica,https://www.bulario.com/,-
Ultrafer,Ultrafer está indicado no tratamento das anemias ferroprivas e como preventivo da deficiência de ferro.,"anemia, deficiência de ferro",https://www.bulario.com/,-
Tafinlar,Tafinlar é indicado para o tratamento do melanoma.,melanoma,https://www.bulario.com/,-
Sabofen sabonete,"O Sabofen sabonete é indicado para a antissepsia da pele e couro cabeludo. O uso deste sabonete é recomendado na limpeza das mãos e ferimentos leves, como antisético da mucosa vaginal, na limpeza do corpo e tratamento de afecções cutâneas como furúnculos, acne, impetigo, dermatite infecciosa e dermatomicose superficial, reduzindo assim odores fortes provenientes dos microorganismos da pele.","acne, furúnculo,dermatite infecciosa",https://www.bulario.com/,-
Rafex,"Rafex está indicado como anti-histamínico no tratamento das manifestações alérgicas, tais como rinite alérgica e urticária. Uso adulto e pediátrico acima de 12 anos - Uso oral","alergia, rinite alérgica, urticária",https://www.bulario.com/,-
Qlaira,"Rafex está indicado como anti-histamínico no tratamento das manifestações alérgicas, tais como rinite alérgica e urticária. Uso adulto e pediátrico acima de 12 anos - Uso oral",anticoncepcional,https://www.bulario.com/,-
Paclitaxel,"O Paclitaxel é indicado nas seguintes situações: Carcinoma de ovário como primeira e segunda linha de tratamento de tratamento; Câncer de mama como tratamento adjuvante, ou seja, é utilizado posteriormente ao tratamento principal; Câncer de Não-pequenas células de pulmão em pessoas que não sejam candidatas a cirurgia ou radioterapia com potencial de cura; Sarcoma de Kaposi relacionado à AIDS como tratamento de segunda linha.","câncer de mama, câncer de pumão, carcinoma de ovário",https://www.bulario.com/,-
Ocrevus,O Ocrevus é um remédio indicado para o tratamento de pessoas com formas recorrentes de esclerose múltipla e de pacientes com esclerose múltipla primária progressiva.,esclerose mútipla,https://www.bulario.com/,-
Nan 1,"Nan 1 é um leite infantil em pó, indicado como alimentação para lactentes, em bebês durante os primeiros 6 meses de vida.",alimentação para bebês,https://www.bulario.com/,-
MabThera,"O MabThera é um remédio indicado para o tratamento de linfoma não Hodgkin, artrite reumatóide, leucemia linfoide crônica e granulomatose com poliangite e poliangite microscópica.","linfoma não Hodgkin, artrite reumatóide, leucemia linfoide crônica",https://www.bulario.com/,-
Labirin,"Labirin é indicado para a tontura, perda de audição e zumbido e para o síndrome de Menière, no tratamento de sintomas como vertigem com náusea e vômito.","ontura, perda de audição,zumbido",https://www.bulario.com/,-
Kaletra,"O Kaletra é indicado para tratar a AIDS, sendo usado em combinação com outros medicamentos anti-retrovirais.",AIDS,https://www.bulario.com/,-
Janumet comprimidos,"Janumet comprimidos Está indicado para reduzir o nível de açúcar no sangue no tratamento da diabetes tipo 2, devendo ser associado a dieta e exercício físico recomendado pelo médico. Existe outro medicamento utilizado para tratar a diabetes tipo 2, o Janumet XR, que tem uma libertação prolongada, fazendo com que o seu efeito dure mais tempo.",diabetes,https://www.bulario.com/,-
Ibrance,Ibrance é indicado para o tratamento do câncer da mama avançado em mulheres após a menopausa.,câncer de mama,https://www.bulario.com/,-
Haar-intern,"O Haar-intern é um medicamento destinado ao tratamento e profilaxia de hipovitaminoses A, B6 e D3.",suplemento vitaminico,https://www.bulario.com/,-
Gaballon,"Gaballon - Este medicamento é indicado no tratamento de cansaço físico, mental e anorexia.","cansaço físico, mental, anorexia.",https://www.bulario.com/,-
Fadig,"Fadig - Astenia física e mental, perda da memória, abulia, diminuição da capacidade intelectiva, diminuição do rendimento orgânico, síndrome de sobrecarga, convalescenças.","Astenia física e mental, perda da memória, abulia, diminuição da capacidade intelectiva",https://www.bulario.com/,-
EACA BALSÂMICO,"EACA BALSÂMICO está indicado para o tratamento das afecções de natureza inflamatória do aparelho respiratório, como fluidificante e expectorante das secreções brônquicas. Como coadjuvante no tratamento das crises asmáticas e asmatiformes.",afecções de natureza inflamatória do aparelho respiratório,https://www.bulario.com/,-
dacarbazina,"A dacarbazina é indicada no tratamento de melanoma maligno metastático. Além disso, a dacarbazina é indicada na doença de Hodgkin como uma terapia de segunda linha, quando em combinação com outros agentes eficazes.",melanoma maligno metastático,https://www.bulario.com/,-
